type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,Win_Team
reg,2018090600,PHI,ATL,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090600/2018090600_gtd.json,18,12,PHI
reg,2018090900,BAL,BUF,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090900/2018090900_gtd.json,47,3,BAL
reg,2018090907,NYG,JAX,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090907/2018090907_gtd.json,15,20,JAX
reg,2018090906,NO,TB,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090906/2018090906_gtd.json,40,48,TB
reg,2018090905,NE,HOU,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090905/2018090905_gtd.json,27,20,NE
reg,2018090904,MIN,SF,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090904/2018090904_gtd.json,24,16,MIN
reg,2018090903,MIA,TEN,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090903/2018090903_gtd.json,27,20,MIA
reg,2018090902,IND,CIN,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090902/2018090902_gtd.json,23,34,CIN
reg,2018090901,CLE,PIT,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090901/2018090901_gtd.json,21,21,PIT
reg,2018090908,LAC,KC,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090908/2018090908_gtd.json,28,38,KC
reg,2018090911,DEN,SEA,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090911/2018090911_gtd.json,27,24,DEN
reg,2018090910,CAR,DAL,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090910/2018090910_gtd.json,16,8,CAR
reg,2018090909,ARI,WAS,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090909/2018090909_gtd.json,6,24,WAS
reg,2018090912,GB,CHI,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018090912/2018090912_gtd.json,24,23,GB
reg,2018091000,DET,NYJ,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091000/2018091000_gtd.json,17,48,NYJ
reg,2018091001,OAK,LA,1,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091001/2018091001_gtd.json,13,33,LA
reg,2018091300,CIN,BAL,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091300/2018091300_gtd.json,34,23,CIN
reg,2018091600,ATL,CAR,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091600/2018091600_gtd.json,31,24,ATL
reg,2018091608,WAS,IND,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091608/2018091608_gtd.json,9,21,IND
reg,2018091607,TEN,HOU,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091607/2018091607_gtd.json,20,17,TEN
reg,2018091606,TB,PHI,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091606/2018091606_gtd.json,27,21,TB
reg,2018091605,PIT,KC,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091605/2018091605_gtd.json,37,42,KC
reg,2018091604,NYJ,MIA,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091604/2018091604_gtd.json,12,20,MIA
reg,2018091601,BUF,LAC,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091601/2018091601_gtd.json,20,31,LAC
reg,2018091602,GB,MIN,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091602/2018091602_gtd.json,29,29,MIN
reg,2018091603,NO,CLE,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091603/2018091603_gtd.json,21,18,NO
reg,2018091610,SF,DET,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091610/2018091610_gtd.json,30,27,SF
reg,2018091609,LA,ARI,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091609/2018091609_gtd.json,34,0,LA
reg,2018091612,JAX,NE,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091612/2018091612_gtd.json,31,20,JAX
reg,2018091611,DEN,OAK,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091611/2018091611_gtd.json,20,19,DEN
reg,2018091613,DAL,NYG,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091613/2018091613_gtd.json,20,13,DAL
reg,2018091700,CHI,SEA,2,2018,POST,http://www.nfl.com/liveupdate/game-center/2018091700/2018091700_gtd.json,24,17,CHI
reg,2018092000,CLE,NYJ,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092000/2018092000_gtd.json,21,17,CLE
reg,2018092300,ATL,NO,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092300/2018092300_gtd.json,37,43,NO
reg,2018092309,WAS,GB,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092309/2018092309_gtd.json,31,17,WAS
reg,2018092308,PHI,IND,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092308/2018092308_gtd.json,20,16,PHI
reg,2018092307,MIN,BUF,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092307/2018092307_gtd.json,6,27,BUF
reg,2018092306,MIA,OAK,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092306/2018092306_gtd.json,28,20,MIA
reg,2018092301,BAL,DEN,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092301/2018092301_gtd.json,27,14,BAL
reg,2018092302,CAR,CIN,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092302/2018092302_gtd.json,31,21,CAR
reg,2018092303,HOU,NYG,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092303/2018092303_gtd.json,22,27,NYG
reg,2018092304,JAX,TEN,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092304/2018092304_gtd.json,6,9,TEN
reg,2018092305,KC,SF,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092305/2018092305_gtd.json,38,27,KC
reg,2018092310,LA,LAC,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092310/2018092310_gtd.json,35,23,LA
reg,2018092312,SEA,DAL,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092312/2018092312_gtd.json,24,13,SEA
reg,2018092311,ARI,CHI,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092311/2018092311_gtd.json,14,16,CHI
reg,2018092313,DET,NE,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092313/2018092313_gtd.json,26,10,DET
reg,2018092400,TB,PIT,3,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092400/2018092400_gtd.json,27,30,PIT
reg,2018092700,LA,MIN,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018092700/2018092700_gtd.json,38,31,LA
reg,2018093005,JAX,NYJ,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093005/2018093005_gtd.json,31,12,JAX
reg,2018093006,NE,MIA,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093006/2018093006_gtd.json,38,7,NE
reg,2018093007,TEN,PHI,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093007/2018093007_gtd.json,26,23,TEN
reg,2018093004,IND,HOU,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093004/2018093004_gtd.json,34,37,HOU
reg,2018093003,GB,BUF,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093003/2018093003_gtd.json,22,0,GB
reg,2018093002,DAL,DET,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093002/2018093002_gtd.json,26,24,DAL
reg,2018093001,CHI,TB,4,2018,POST,http://www.nfl.com/liveupdate/game-center/2018093001/2018093001_gtd.json,48,10,CHI
